filename,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000052.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000053.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000054.jpg,Yes,Twitter,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000317.jpg,Yes,Twitter,Yes,Twitter,*partial
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000318.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000319.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000320.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000321.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000322.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000323.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000324.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000325.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000326.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000327.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000328.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000329.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000330.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000331.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000333.jpg,Yes,Twitter,Yes,Twitter,*partial
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000334.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000335.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000336.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000337.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001097.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001098.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001099.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001100.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001101.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001102.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001103.jpg,Yes,Instagram,No,N/A,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001183.jpg,Yes,Twitter,Yes,Twitter,*partial
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001184.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001185.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001186.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001187.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001188.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001189.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001190.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001191.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001192.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001193.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001194.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001195.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001196.jpg,Yes,Twitter,Yes,Twitter,
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001197.jpg,Yes,Twitter,Yes,Twitter,
